"Index","X3M","X6M","X1Y","X2Y","X3Y","X4Y","X5Y","X6Y","X7Y","X8Y","X9Y","X10Y","X11Y","X12Y","X13Y","X14Y","X15Y","X16Y","X17Y","X18Y","X19Y","X20Y","X21Y","X22Y","X23Y","X24Y","X25Y","X26Y","X27Y","X28Y","X29Y","X30Y"
"2015-01-26",-0.134952,-0.181342,-0.172409,-0.123167,-0.09895,-0.061989,-0.002313,0.074678,0.161151,0.250728,0.339047,0.423434,0.502429,0.575395,0.642212,0.703074,0.758351,0.808493,0.853978,0.895277,0.932833,0.967055,0.99831,1.026926,1.053195,1.077373,1.099684,1.120326,1.139471,1.157271,1.173859,1.189352
"2015-02-02",-0.166935,-0.211112,-0.190844,-0.15423,-0.143236,-0.109474,-0.049666,0.026673,0.110371,0.195009,0.276657,0.353177,0.423605,0.487704,0.545654,0.597863,0.644835,0.687106,0.725195,0.759586,0.790717,0.818978,0.844709,0.868211,0.889742,0.909528,0.927764,0.94462,0.960242,0.974757,0.988279,1.000903
"2015-02-09",-0.172701,-0.22163,-0.198934,-0.170895,-0.15492,-0.104809,-0.026705,0.06535,0.160809,0.253313,0.339544,0.418105,0.488726,0.551743,0.607784,0.657584,0.701887,0.74139,0.776721,0.808431,0.836999,0.862835,0.886292,0.907667,0.927217,0.945158,0.961678,0.976935,0.991068,1.004194,1.016418,1.027828
"2015-02-16",-0.18307,-0.22037,-0.198534,-0.188599,-0.181224,-0.132517,-0.052657,0.042275,0.140793,0.236139,0.324852,0.405519,0.477899,0.54238,0.599642,0.650466,0.695635,0.735878,0.771846,0.804112,0.833169,0.85944,0.883285,0.90501,0.924877,0.943108,0.959893,0.975395,0.989753,1.003089,1.015507,1.027098
"2015-02-23",-0.183537,-0.225652,-0.202266,-0.182788,-0.180428,-0.139709,-0.063855,0.03225,0.136279,0.240184,0.339316,0.431326,0.515299,0.591172,0.659342,0.720433,0.775155,0.824219,0.868295,0.907994,0.943858,0.976362,1.005921,1.032892,1.057582,1.080258,1.101148,1.120449,1.138333,1.154948,1.170422,1.184867
"2015-03-02",-0.187543,-0.246464,-0.225042,-0.186023,-0.177308,-0.141271,-0.074674,0.011192,0.105664,0.201336,0.293689,0.380265,0.459959,0.53249,0.598062,0.657132,0.710275,0.758095,0.801182,0.840084,0.875296,0.90726,0.936362,0.962942,0.987292,1.009669,1.030293,1.049354,1.067021,1.083436,1.098727,1.113003
"2015-03-09",-0.19785,-0.241828,-0.215871,-0.191952,-0.188321,-0.151363,-0.083655,0.001595,0.093526,0.185098,0.272279,0.353057,0.426675,0.493113,0.552747,0.606146,0.653944,0.696777,0.735239,0.769868,0.801143,0.829483,0.85525,0.878757,0.900275,0.920035,0.938238,0.955056,0.970638,0.985114,0.998596,1.011182
"2015-03-16",-0.208492,-0.263353,-0.237618,-0.200905,-0.179329,-0.131952,-0.064311,0.012293,0.089793,0.163576,0.231424,0.29257,0.347054,0.395324,0.438002,0.475751,0.509207,0.53895,0.56549,0.589268,0.61066,0.629986,0.647519,0.663487,0.678084,0.691476,0.703805,0.715189,0.725733,0.735525,0.744643,0.753154
"2015-03-23",-0.201736,-0.25328,-0.235225,-0.197261,-0.174564,-0.130131,-0.066723,0.005855,0.080061,0.151368,0.217465,0.277438,0.331183,0.379027,0.421495,0.45918,0.492666,0.522497,0.54916,0.573077,0.594616,0.614089,0.631765,0.64787,0.662597,0.676111,0.688554,0.700045,0.710689,0.720575,0.72978,0.738373
"2015-03-30",-0.216565,-0.265904,-0.246054,-0.216627,-0.194044,-0.144596,-0.07588,0.000553,0.076878,0.148812,0.214423,0.273161,0.325215,0.371127,0.411574,0.447246,0.47879,0.506783,0.531726,0.554049,0.574117,0.592237,0.608667,0.623625,0.637297,0.649838,0.661381,0.672039,0.68191,0.691077,0.699613,0.70758
